"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","분위기","장르 대분류","장르 대분류 영어","카테고리 / 키워드 명칭 (영문)","매칭 상세 설명 및 활용 팁","제목1","프롬프트1(속도 느림)","제목2","프롬프트2(속도 보통)","제목3","프롬프트3(속도 빠름)"
"","33","Nostalgic","힙합 / 알앤비 / 재즈 / 블루스","04_HipHop_RnB_Jazz_Blues","Motown & Old School Rnb","60~70년대 모타운풍의 소울풀한 보컬 하모니와 그루비한 악기 세션이 돋보이는 소울 클래식","Detroit Dusk","slow emotional motown soul ballad, deep melancholic string section, warm vintage bass guitar, slow soulful organic acoustic drums, heart-warming retro, 68 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Soul Review","classic 70s motown pop soul, driving lifestyle tambourine backbeat, energetic walking bassline, punchy brass ensemble, infectious soulful dance rhythm, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Superstition Funk","fast high-energy motown funk rock, clavi keyboard riff, aggressive horn section blast, funky driving bass guitar, relentless soulful dance groove, 130 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","34","Calm","힙합 / 알앤비 / 재즈 / 블루스","04_HipHop_RnB_Jazz_Blues","Traditional Jazz","정통적인 악기 구성과 스윙 리듬, 즉흥 연주가 살아있는 클래식 재즈","Midnight Blue Jazz","slow smoky late-night jazz ballad, gentle solo saxophone melody, soft brushed snare drum kit, acoustic upright bass, intimate jazz club mood, 60 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Manhattan Swing","classic traditional swing jazz, bouncing acoustic upright bass, driving ride cymbal swing rhythm, lively piano chords, joyful big city vibe, 120 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Bebop Fire","fast virtuous traditional bebop jazz, rapid frantic acoustic double bass, complex frantic drum kit improvisations, rapid saxophone solo, high energy, 170 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","35","Refreshing","힙합 / 알앤비 / 재즈 / 블루스","04_HipHop_RnB_Jazz_Blues","Modern Jazz","비밥 이후 발전한 지적이고 감각적인 코드 진행과 세련된 솔로 연주 재즈","Cool Post-Bop","intellectual modern jazz, slow abstract modal piano chords, warm fluid acoustic bassline, spacious crisp drum cymbals, sophisticated art gallery vibe, 70 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Metropolitan Dusk","mid-tempo contemporary modern jazz, smooth trumpet lead, complex modern syncopated drum groove, deep double bass, sleek cosmopolitan lifestyle, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Fusion Electric Fury","fast modern jazz fusion, complex syncopated electric bass guitar slap, rapid technical drumming, fiery rhodes electric piano solo, hyper technical, 150 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","36","Calm","힙합 / 알앤비 / 재즈 / 블루스","04_HipHop_RnB_Jazz_Blues","Smooth Jazz","대중적인 팝 요소가 가미되어 부드럽고 세련된 멜로디를 선사하는 재즈 스타일","Luxury Penthouse","slow luxury smooth jazz, soft silky soprano saxophone melody, gentle muted electronic drum padding, warm synth bass, premium hotel lounge mood, 72 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Coastal Drive","mid-tempo commercial smooth jazz, bright acoustic guitar melody, fluid electric bass groove, crisp clean pop drum rhythm, sunny seaside driving vibe, 105 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Urban Night Cruising","upbeat fast smooth jazz pop, funky grooving bassline, lively brass accents, bright catchy piano melody, energetic sophisticated night scene, 122 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","37","Groovy","힙합 / 알앤비 / 재즈 / 블루스","04_HipHop_RnB_Jazz_Blues","Acid Jazz","재즈 선율에 펑크, 소울, 힙합 비트가 결합된 쫀득하고 트렌디한 라운지 무드","Smoky Lounge","slow acid jazz groove, muted funky electric guitar loops, deep organic bass synth, lazy soulful hip-hop drum beat, retro chill lounge cafe mood, 80 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","London Underground","classic 90s acid jazz, driving funky slap bass guitar, crisp syncopated live drums, rhythmic rhodes keyboard stabs, jazzy horn section accents, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Funk Fusion Rumble","fast energetic acid jazz funk, rapid frantic bassline, tight snapping drums, lively brass horn section stabs, bright celebratory urban party vibe, 130 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","38","Comical","힙합 / 알앤비 / 재즈 / 블루스","04_HipHop_RnB_Jazz_Blues","Blues","특유의 애절하고 끈적한 블루 노트를 기반으로 한 전통 음악","Mississippi Delta","acoustic delta blues, slow raw weeping steel slide guitar, deep stamping foot stomp beat, soulful harmonica wail, authentic muddy southern cabin mood, 65 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Chicago Storm","classic electric blues rock, driving twelve-bar blues structure, crying overdriven electric guitar solo, punchy shuffle drum beat, soulful bass, 110 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Texas Speed Train","fast high-energy texas blues rock, blistering rapid blues guitar licks, driving aggressive shuffle drums, pumping electric bass, high adrenaline, 140 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","39","Dramatic","힙합 / 알앤비 / 재즈 / 블루스","04_HipHop_RnB_Jazz_Blues","Modern Blues","전통 블루스를 현대적인 록/소울 사운드와 세련되게 매칭한 장르","Midnight Soulful Crying","slow modern indie blues, deep emotional distorted guitar wail, ambient spacious drums, dark cinematic soul atmosphere, melancholic deep mood, 68 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Neon City Blues","contemporary modern blues pop, slick clean electric guitar riffs, punchy pop rock drums, solid bassline, modern urban lifestyle background, 112 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Rockin Blues Fury","fast modern blues rock overdrive, aggressive fast guitar soloing, powerful stadium rock drums, high-octane energetic corporate or sports vibe, 138 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","40","Calm","팝 / 포크 / 컨트리 / 전통악기","05_Pop_Folk_Country_Acoustic","Pop","대중적이고 캐치한 멜로디가 중심이 되는 가장 친숙한 보컬/댄스 스타일","Cloudy Day Melody","slow acoustic pop ballad, soft acoustic guitar strumming, gentle warm piano chords, minimalist pop drum beat, intimate warm emotional backdrop, 75 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Summer Horizon","mainstream radio pop anthem, bright plucky synthesizer lead, punchy pop drum kit, bouncy clean bassline, optimistic energetic mood, 118 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Neon Pulse Pop","fast electro-pop dance, driving pulsing synth bassline, rapid clean high-hats, explosive pop chorus beat, high-voltage upbeat energy, 132 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","41","Dreamy","팝 / 포크 / 컨트리 / 전통악기","05_Pop_Folk_Country_Acoustic","Indie Pop","독창적이고 친근한 멜로디가 돋보이는 인디 감성의 팝 음악","Dreamy Bedroom","dreamy slow indie pop, nostalgic lo-fi electric guitar chords, soft muted drums, warm intimate bass, cozy bedroom aesthetic, whimsical mood, 80 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Sunny Street Cafe","mid-tempo cheerful indie pop, acoustic guitar strumming, whistling melody, bouncy acoustic bass, handclaps, bright happy indie commercial vibe, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Festival Stage","fast energetic indie pop rock, driving acoustic guitar, lively upbeat drums, bright glockenspiel accent, youthful joyful festival energy, 135 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","42","Minimal","팝 / 포크 / 컨트리 / 전통악기","05_Pop_Folk_Country_Acoustic","Alternative","주류 공식에서 벗어나 아티스트 개개인의 독특한 감성을 지닌 음악 스타일","Misty Horizon","atmospheric dark alternative, slow swelling cello strings, minimalist organic percussion, haunting hollow guitar plucks, melancholic artsy vibe, 68 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Grunge Revival","90s alternative grunge rock, crunchy distorted electric guitar riffs, punchy dynamic acoustic drums, raw unpolished indie garage band energy, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Indie Punk Surge","fast explosive alternative rock, frantic driving rhythm guitars, energetic fast-paced drums, raw rebellious underground festival spirit, 142 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","43","Dramatic","팝 / 포크 / 컨트리 / 전통악기","05_Pop_Folk_Country_Acoustic","Post Rock","보컬을 배제하고 기타 레이어링 등 악기 연주로 거대하고 점진적인 서사를 쌓는 장르","Misty Sleep","ambient atmospheric post-rock, slow swelling guitar swells with long delay, minimalist cymbal wash, spacious emotional cinematic ambient, 65 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Glow Horizon","classic triumphant post-rock, slow build-up into heavy driving rock drums, walls of shimmering distorted guitars, epic orchestral crescendos, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Cosmic Acceleration","high-tempo dynamic post-rock, rapid driving drum rhythm, cascading intense guitar delay patterns, wall of sound, chaotic majestic climax, 138 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","44","Upbeat","팝 / 포크 / 컨트리 / 전통악기","05_Pop_Folk_Country_Acoustic","Folk","어쿠스틱 악기 중심의 서정적이고 내추럴한 감성을 담은 자연 친화적 장르","Forest Whistle","traditional indie folk, slow rustic acoustic guitar picking, gentle organic violin backdrop, soft hand drum, warm natural campfire atmosphere, 68 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Sunny Meadow Journey","cheerful mid-tempo modern folk, acoustic guitar strumming, lively banjo plucks, foot stomps, handclaps, bright optimistic organic commercial vibe, 110 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Irish Pub Foot-Stomp","fast high-energy acoustic celtic folk, furious fiddle melody, rapid streaming acoustic guitar, fast syncopated cajon beats, joyful tavern pub party, 138 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","45","Calm","팝 / 포크 / 컨트리 / 전통악기","05_Pop_Folk_Country_Acoustic","Traditional Country","밴조나 통기타 바탕으로 미국 서부 전원의 아늑하고 소박한 삶을 노래하는 음악","Texas Campfire Bluebird","slow traditional country ballad, weeping pedal steel guitar, soft warm acoustic guitar fingerpicking, gentle rustic acoustic drums, nostalgic western, 68 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Nashville Story","classic mid-tempo traditional country, lively acoustic banjo plucks, bouncing honky-tonk acoustic bass, clean steady drum beat, warm rustic storytelling, 105 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Honky Tonk Saloon","fast traditional country swing, frantic fiddle melody, rapid honky-tonk piano rolls, driving acoustic country drum train beat, lively western party, 135 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","46","Upbeat","팝 / 포크 / 컨트리 / 전통악기","05_Pop_Folk_Country_Acoustic","Modern Country","전통 컨트리에 현대적인 팝/록 사운드가 결합되어 세련되면서도 친근한 장르","Sunset Southern Horizon","slow modern country pop ballad, soft acoustic guitar, clean emotional pop string backdrop, slow powerful rock drums, sentimental modern southern vibe, 72 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Highway Radio Hit","mainstream nashville modern country rock, driving electric rhythm guitars, punchy stadium rock drum beat, clear melodic bass, energetic road trip, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Rodeo Stampede","fast high-energy modern country rock, blistering country-style electric guitar solos, furious banjo picking, thunderous rock drums, explosive energy, 138 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","47","Calm","팝 / 포크 / 컨트리 / 전통악기","05_Pop_Folk_Country_Acoustic","Ska","자메이카 유래 장르로 엇박자의 경쾌한 기타 리프와 브라스가 만드는 신나는 리듬","Reggae Ska Lounge","slow relaxed ska reggae, offbeat clean guitar chops (skank), deep lazy bassline, soft trumpet counter-melody, tropical beach bar lounge mood, 75 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Downtown Bouncing","classic 2-tone ska style, mid-tempo bouncing bassline, rapid staccato offbeat guitar strumming, punchy horns brass section theme, uplifting retro, 120 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Skankin Riot","fast third-wave ska punk, furious aggressive rock drums, fast offbeat electric guitars, explosive blazing brass horn lines, wild high-energy party, 150 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","48","Groovy","팝 / 포크 / 컨트리 / 전통악기","05_Pop_Folk_Country_Acoustic","Funk","리드미컬한 베이스 라인과 그루브가 살아있는 신나는 리듬 중심의 음악","Cool Soul Funk","slow deep soul funk groove, warm rhodes piano chords, muted rhythmic wah-wah guitar plucks, deep laid-back bass pocket, smoky vintage club vibe, 82 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Funkadelic Groove","classic 70s funk dance, driving heavy slap bass guitar loop, crisp syncopated live drums, tight rhythm guitar chugs, explosive brass horn section, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Super Funk Express","fast high-energy disco funk, frantic aggressive popping bassline, rapid crisp hi-hat drumming, bright lively trumpet section blast, non-stop dance, 132 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"slow, normal","49","Dramatic","클래식 / 합주 / 월드뮤직","06_Classical_Ensemble_WorldMusic","Modern Classical","클래식 악기 구성에 현대적인 미니멀리즘이나 전자 음악 텍스처를 결합한 장르","Solitary Piano Rain","minimalist modern classical, slow emotional solo piano melody, ambient misty string texture backdrop, melancholic cinematic art film mood, 60 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Metropolitan Sonata","mid-tempo contemporary neoclassical, rhythmic arpeggiated piano lines, soaring warm cello and violin strings, elegant sophisticated documentary backdrop, 105 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Kinetic Symphony","fast dramatic modern classical, frantic staccato string ostinatos, powerful orchestral hits, rapid dynamic piano arpeggios, high tension, 135 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"slow, normal","50","Dramatic","클래식 / 합주 / 월드뮤직","06_Classical_Ensemble_WorldMusic","Orchestral","현악, 관악, 타악이 어우러져 깊고 거대한 스케일의 서사를 만드는 웅장한 사운드","Elegiac Dawn","slow solemn orchestral majesty, deep mourning string sections, distant melancholic horn solo, swelling cinematic timpani rolls, epic tragic landscape, 65 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Heroic Expedition","mid-tempo sweeping cinematic orchestral, soaring heroic horn melodies, driving string sections, powerful percussion, epic adventure soundtrack theme, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Thunderous Battle","fast thunderous symphonic orchestral, furious aggressive brass section blasts, rapid complex percussion ensemble, war action movie climax score, 142 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"slow, normal","51","Dramatic","클래식 / 합주 / 월드뮤직","06_Classical_Ensemble_WorldMusic","Cinematic","영화 속 장면에 몰입감을 극대화해 주는 시네마틱 공간감 중심의 음악","Misty Ambient Horizon","slow deep cinematic ambient, vast spacious synthesizer drone pads, deep distant sub-bass impact, floating solo cello melody, mysterious misty mood, 55 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Suspenseful Pursuit","mid-tempo tension cinematic, ticking rhythmic sub-pulse percussion, low ominous cello strings, sudden brass impact swells, investigative thriller vibe, 100 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Adrenaline Escape","fast cinematic action score, frantic orchestral string ostinatos, heavy cinematic hybrid electronic beats, massive drum impacts, high-speed chase, 138 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"slow, normal","52","Dramatic","클래식 / 합주 / 월드뮤직","06_Classical_Ensemble_WorldMusic","Epic Classical","오케스트라 사운드 중에서도 스케일이 거대하고 웅장한 영웅적 느낌의 음악","Tragic Kingdom","slow cinematic epic orchestral, heavy dark brass section chorale, slow crushing sub bass impact drums, grand sorrowful symphonic string backdrop, 65 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Rising Legend","mid-tempo triumphant epic orchestral, soaring brass fanfares, driving staccato string rhythms, sweeping grand cinematic percussion, hero theme, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Valhalla Storm","fast aggressive epic symphonic rock hybrid, hyperactive orchestral staccato strings, thunderous taiko drum impacts, blazing frantic brass stabs, 140 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"slow, normal","53","Romantic","클래식 / 합주 / 월드뮤직","06_Classical_Ensemble_WorldMusic","Chamber Music","소규모 악기 편성(현악 4중주 등)으로 정갈하고 지적인 깊이를 주는 실내악","Solitude Quartet","slow mournful string quartet, melancholic solo violin weeping, gentle solemn cello bassline, delicate refined classical chamber mood, 58 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Baroque Salon","classic mid-tempo chamber music, elegant string quartet counterpoint, bright rhythmic harpsichord accents, sophisticated aristocratic court vibe, 95 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Presto Movement","fast intricate classical chamber presto, furious interlocking staccato violin lines, rapid rhythmic cello plucking, intense sophisticated high-energy classic tempo, 135 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","54","Dramatic","클래식 / 합주 / 월드뮤직","06_Classical_Ensemble_WorldMusic","Dramatic Classical","격정적이고 극적인 전개를 통해 화면의 몰입감과 인물의 감정을 극대화하는 클래식","Sorrowful Confession","slow intense dramatic classical, deeply emotional weeping violin solo, dark heavy low piano chords, swelling melancholic orchestral string pads, 62 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Betrayal and Fury","mid-tempo passionate dynamic classical, sudden dramatic orchestral stabs, frantic arpeggiated piano sequences, rising tension strings, theatrical tragedy, 110 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Wrath of the Gods","fast furious dramatic classical symphony, aggressive rapid staccato string sections, explosive operatic hits, thunderous timpani, maximum climax, 140 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","55","Dreamy","클래식 / 합주 / 월드뮤직","06_Classical_Ensemble_WorldMusic","Choir","여러 사람의 목소리가 한데 어우러져 만들어내는 웅장하고 성스러운 합창 사운드","Cathedral Requiem","slow sacred cathedral choir, deep spiritual polyphonic vocal textures, solemn slow pace, ethereal holy ambient reverb, ancient spiritual meditation, 55 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Ethereal Dawn Choir","mid-tempo cinematic classical choir, sweeping uplifting soprano harmonies, rich majestic choral textures, epic emotional swell with soft strings, 100 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Apocalypse Chorus","fast terrifying epic choir battle, aggressive staccato vocal chants, massive gothic choral ensemble, frantic symphonic backing, dramatic action score, 135 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","56","Dramatic","클래식 / 합주 / 월드뮤직","06_Classical_Ensemble_WorldMusic","Gospel","영혼을 울리는 웅장한 코러스와 파워풀한 보컬 중심의 신성한 소울 음악","Altar Serenade","slow deeply emotional gospel ballad, warm vintage organ pad chords, slow soulful real acoustic bass, gentle real acoustic drums, spiritual church mood, 65 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Sunday Service Groove","classic mid-tempo uplifting gospel soul, grooving funky bassline, joyous rhythmic clapping, soulful vocal harmony backing, celebratory vibe, 105 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Glory Hallelujah","fast high-energy gospel pop rock, frantic driving gospel piano rolls, explosive choir section backing chorus, driving upbeat rock drums, joyful celebration, 132 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","57","Peaceful","클래식 / 합주 / 월드뮤직","06_Classical_Ensemble_WorldMusic","Instrumental","보컬(목소리) 없이 온전히 악기 연주로만 구성되어 배경음으로 깔기 좋은 형태","Misty Meditation Ambient","slow tranquil instrumental ambient, floating warm digital synth pads, minimalist acoustic guitar plucking, soft space reverb, narration background, 65 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Urban Corporate Pulse","mid-tempo sleek corporate instrumental, driving warm electronic pulse synth, clean steady acoustic drums, bright acoustic guitar notes, business vlog, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","High-Speed Innovation","fast modern electronic tech instrumental, rapid crisp arpeggiator patterns, punchy driving dance kick, slick hi-tech data editing background vibe, 135 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","58","Dreamy","클래식 / 합주 / 월드뮤직","06_Classical_Ensemble_WorldMusic","Ambient","명확한 멜로디 대신 분위기와 부드러운 패드로 공간감을 강조하는 힐링 배경음","Cosmic Ocean","ultra-slow pure ambient soundscape, sprawling celestial drone synths, no beats, warm drifting low frequencies, deep space meditation relaxation, 50 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Floating Clouds","mid-tempo light electronic ambient, soft clicking digital percussion loop, gentle floating synth pads, warm acoustic plucks, calm creative focus mood, 90 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Pulsing Matrix","upbeat electronic ambient techno, steady soft house kick drum, hypnotic rapid analog synth sequence, spacious rolling background delays, minimalist drive, 120 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","59","Dreamy","클래식 / 합주 / 월드뮤직","06_Classical_Ensemble_WorldMusic","World","특정 국가나 민족의 고유한 문화적 색채와 전통 악기 선율이 강조된 월드 뮤직","Ancient Dunes","traditional middle eastern ethnic, slow authentic oud picking, misty atmospheric ney flute melody, soft frame drum percussion, ancient desert mood, 68 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Global Village Dance","mid-tempo world music fusion, cross-cultural acoustic instruments, vibrant ethnic hand drums, grooving acoustic bass, cheerful sun-drenched commercial, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Tribal Stampede","fast high-energy tribal ethnic percussion ensemble, furious rapid djembe drumming, chaotic native flutes, chanting voices, intense wild primal rhythm, 140 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","60","Dramatic","클래식 / 합주 / 월드뮤직","06_Classical_Ensemble_WorldMusic","Arabic","중동 특유의 음계(마캄)와 우드, 다부카 같은 전통 악기가 매혹적인 무드를 형성","Desert Mirage","traditional slow arabic maqam acoustic, emotional weeping oud melody, ambient ney woodwind flute, deep slow frame drum, authentic exotic landscape, 65 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Bazaar Pulse","mid-tempo arabic fusion pop, punchy electronic beats layered with fast darbuka hand drums, exotic catchy synth lead hooks, rich middle eastern vibe, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Caravan Chase","fast aggressive arabic cinematic percussion score, frantic rapid darbuka solo riffs, heavy orchestral strings, exotic urgent middle eastern action, 138 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","61","Upbeat","클래식 / 합주 / 월드뮤직","06_Classical_Ensemble_WorldMusic","Celtic","아일랜드/스코틀랜드 전통 스타일로 틴 휘슬과 피들이 자아내는 신비롭고 광활한 자연 무드","Misty Highland Morning","traditional slow celtic folk ballad, weeping solo tin whistle, lush warm acoustic guitar backing, gentle sweeping violin pads, nostalgic emerald mood, 68 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Dublin Tavern Step","classic mid-tempo irish celtic folk dance, lively rhythmic fiddle melody, driving acoustic guitar streaming, crisp syncopated bodhran hand drum, tavern, 118 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Highland Storm","fast epic celtic orchestral rock fusion, blistering rapid bagpipe riffs, driving aggressive rock drums, fast orchestral string runs, explosive energy, 140 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","62","Upbeat","클래식 / 합주 / 월드뮤직","06_Classical_Ensemble_WorldMusic","Ireland","켈틱 음악을 기반으로 서정적이고 신비로운 아일랜드 정취를 소리로 연출","Galway Dusk","slow evocative irish traditional folk, mournful low whistle melody, gentle delicate harp arpeggios, soft acoustic guitar picking, nostalgic irish coast mood, 62 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Pub Jig Joy","mid-tempo festive irish jig, interlocking cheerful accordion and fiddle melody, rhythmic streaming acoustic guitar, clear crisp tapping tempo, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Emerald Rebellion","fast energetic modern irish rock style, high-pitched rapid fiddle soloing, punchy driving folk rock drum kit, upbeat rebellious pub party energy, 138 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","63","Dramatic","클래식 / 합주 / 월드뮤직","06_Classical_Ensemble_WorldMusic","Scotland","백파이프 소리나 광활한 북유럽 고원을 연상시키는 선율의 민속 음악","Highland Lament","traditional slow scottish bagpipe lament, deep emotional bagpipe drone, soft cinematic string pad accompaniment, grand spacious tragic highland horizon, 60 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Edinburgh Castle March","classic mid-tempo scottish pipe and drum corps march, authentic bagpipe ensemble melody, crisp military snare drum rolls, patriotic majestic pacing, 100 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Clan Warrior Raid","fast aggressive scottish celtic fusion, driving thunderous war drum impacts, rapid frantic bagpipes, heavy acoustic guitar chugs, high action energy, 135 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
